,number,value,datetime_start,datetime_complete,duration,params_NF,params_coef,params_lr,state
0,0,0.0753914850955529,2024-04-16 21:02:57.681825,2024-04-16 21:04:12.186885,0 days 00:01:14.505060,2048,0.291533068858733,0.0085432330664848,COMPLETE
1,1,11.761142410364618,2024-04-16 21:04:12.187885,2024-04-16 21:05:23.309371,0 days 00:01:11.121486,2048,0.5951976446567422,0.09787251699602546,COMPLETE
2,2,0.0046743768436392705,2024-04-16 21:05:23.311366,2024-04-16 21:06:22.660905,0 days 00:00:59.349539,1024,0.6166542804662655,0.028743604983482437,COMPLETE
3,3,0.023642003676155522,2024-04-16 21:06:22.660905,2024-04-16 21:07:23.333122,0 days 00:01:00.672217,1536,0.7180607908606225,0.02957984067228548,COMPLETE
4,4,0.1650550009750945,2024-04-16 21:07:23.333122,2024-04-16 21:08:19.398790,0 days 00:00:56.065668,1024,0.19409808889169805,0.009449853362131274,COMPLETE
5,5,0.025155059814814442,2024-04-16 21:08:19.400787,2024-04-16 21:09:15.609596,0 days 00:00:56.208809,1024,0.95,0.015174262869639556,COMPLETE
6,6,0.01449542314554049,2024-04-16 21:09:15.611596,2024-04-16 21:10:23.481218,0 days 00:01:07.869622,2048,0.05,0.018222440189631945,COMPLETE
7,7,0.01959674702746771,2024-04-16 21:10:23.483215,2024-04-16 21:11:31.098426,0 days 00:01:07.615211,2048,0.05,0.001105944878353714,COMPLETE
8,8,0.00447300565710189,2024-04-16 21:11:31.098426,2024-04-16 21:12:27.504921,0 days 00:00:56.406495,1024,0.95,0.002455866726493847,COMPLETE
9,9,0.03196057899449423,2024-04-16 21:12:27.520546,2024-04-16 21:13:35.215457,0 days 00:01:07.694911,2048,0.05,0.0030370471301288207,COMPLETE
10,10,0.005107793622486879,2024-04-16 21:13:35.217454,2024-04-16 21:14:31.770003,0 days 00:00:56.552549,1024,0.95,0.0010000000000000002,COMPLETE
11,11,0.004481976151917991,2024-04-16 21:14:31.770003,2024-04-16 21:15:39.401029,0 days 00:01:07.631026,2048,0.95,0.022015932828935204,COMPLETE
12,12,0.03434421372192293,2024-04-16 21:15:39.403027,2024-04-16 21:16:47.129402,0 days 00:01:07.726375,2048,0.95,0.004733485628651349,COMPLETE
13,13,0.003907346843518423,2024-04-16 21:16:47.129402,2024-04-16 21:17:54.796333,0 days 00:01:07.666931,2048,0.95,0.0015957147191938451,COMPLETE
14,14,0.004319824064152238,2024-04-16 21:17:54.796333,2024-04-16 21:18:51.077924,0 days 00:00:56.281591,1024,0.05,0.0015981521498591575,COMPLETE
