,number,value,datetime_start,datetime_complete,duration,params_NF,params_coef,params_lr,state
0,0,0.01798858920570431,2024-04-16 20:46:28.523163,2024-04-16 20:47:29.729803,0 days 00:01:01.206640,1024,0.47140938153066847,0.02347006094315089,COMPLETE
1,1,0.00655551237278926,2024-04-16 20:47:29.731803,2024-04-16 20:48:30.824512,0 days 00:01:01.092709,1024,0.6475358610594532,0.0017808059053279672,COMPLETE
2,2,0.005288393288153255,2024-04-16 20:48:30.826507,2024-04-16 20:49:31.950387,0 days 00:01:01.123880,1024,0.3023915827369669,0.0013280808611250891,COMPLETE
3,3,5.679669812395646,2024-04-16 20:49:31.952386,2024-04-16 20:50:43.727363,0 days 00:01:11.774977,2048,0.7734811637684604,0.04281243286902208,COMPLETE
4,4,0.011645235479142414,2024-04-16 20:50:43.729363,2024-04-16 20:51:48.040298,0 days 00:01:04.310935,1536,0.4982250263269458,0.007004455472992693,COMPLETE
5,5,0.011550462528755336,2024-04-16 20:51:48.040298,2024-04-16 20:52:52.574090,0 days 00:01:04.533792,1536,0.05,0.0010000000000000002,COMPLETE
6,6,12.85914881377029,2024-04-16 20:52:52.576090,2024-04-16 20:53:57.254054,0 days 00:01:04.677964,1536,0.05,0.1,COMPLETE
7,7,0.055911920923889316,2024-04-16 20:53:57.254054,2024-04-16 20:54:58.576444,0 days 00:01:01.322390,1024,0.95,0.013348402374640186,COMPLETE
8,8,0.01657470537049228,2024-04-16 20:54:58.577441,2024-04-16 20:56:00.013378,0 days 00:01:01.435937,1024,0.05,0.013192535187169847,COMPLETE
9,9,0.01196779432320845,2024-04-16 20:56:00.015376,2024-04-16 20:57:12.182224,0 days 00:01:12.166848,2048,0.05,0.00266290371299788,COMPLETE
10,10,0.04041931462320714,2024-04-16 20:57:12.184220,2024-04-16 20:58:26.022688,0 days 00:01:13.838468,2048,0.95,0.0010000000000000002,COMPLETE
11,11,0.0437937081678364,2024-04-16 20:58:26.024688,2024-04-16 20:59:39.551055,0 days 00:01:13.526367,2048,0.9499999999999998,0.003867718909628841,COMPLETE
12,12,0.09732579508711166,2024-04-16 20:59:39.553057,2024-04-16 21:00:43.903524,0 days 00:01:04.350467,1024,0.05,0.004110854692241864,COMPLETE
13,13,0.00659795464492148,2024-04-16 21:00:43.905522,2024-04-16 21:01:55.993480,0 days 00:01:12.087958,2048,0.31311829647657047,0.01499091696523331,COMPLETE
14,14,0.0046279807559695425,2024-04-16 21:01:55.995483,2024-04-16 21:02:57.671827,0 days 00:01:01.676344,1024,0.42375967185852026,0.018434721639748887,COMPLETE
