,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
0,0,10.778828897256021,2024-04-02 02:15:53.932620,2024-04-02 02:16:46.803698,0 days 00:00:52.871078,2,1601,64,0.8834748810462544,5.075585261226542e-05,random,20.68422244889306,20.68422244889306,20.68422244889306,20.68422244889306,20.68422244889306,20.68422244889306,19.486344555170714,12.85130842118054,COMPLETE
1,1,20.116698412747848,2024-04-02 02:16:46.805701,2024-04-02 02:16:56.469106,0 days 00:00:09.663405,2,490,64,0.3678897274923702,1.553062052873546e-05,random,20.439618552696086,20.439618552696086,20.439618552696086,20.439618552696086,20.439618552696086,20.439618552696086,20.116698412747848,,PRUNED
2,2,20.824338632701615,2024-04-02 02:16:56.470107,2024-04-02 02:17:01.096340,0 days 00:00:04.626233,2,248,64,0.11105992010595905,0.40176752596245285,random,20.824338632701615,,,,,,,,PRUNED
3,3,21.102432745574152,2024-04-02 02:17:01.097341,2024-04-02 02:17:14.899792,0 days 00:00:13.802451,8,2015,64,0.33691817027261844,0.032724201095840004,grid,21.102432745574152,,,,,,,,PRUNED
4,4,24.39884055145588,2024-04-02 02:17:14.900793,2024-04-02 02:18:39.273700,0 days 00:01:24.372907,4,1403,48,0.9253001500251904,0.07300021690770206,grid,24.398813624050995,24.398813624050995,24.398813624050995,24.398813624050995,24.398813624050995,24.39881224316069,25.050457515603195,,COMPLETE
5,5,22.2054450439463,2024-04-02 02:18:39.274702,2024-04-02 02:20:33.248056,0 days 00:01:53.973354,6,1661,32,0.8810224933834151,0.531223091713517,random,22.205457071824913,22.205457071824913,22.205457071824913,22.205457071824913,22.205457071824913,22.205457071824913,22.205458408259155,,COMPLETE
6,6,22.087396095064598,2024-04-02 02:20:33.249057,2024-04-02 02:20:47.123674,0 days 00:00:13.874617,8,66,64,0.9155837780617755,1.092918551755076e-05,grid,22.087396095064598,,,,,,,,PRUNED
7,7,4.372169653853128,2024-04-02 02:20:47.125675,2024-04-02 02:22:09.630722,0 days 00:01:22.505047,4,160,32,0.9207653607489436,0.00867636965528311,random,8.131339657868486,8.131339657868486,8.131339657868486,8.131339657868486,8.131339657868486,8.131339657868486,5.246584891004627,4.20929201906405,COMPLETE
8,8,21.37078589157002,2024-04-02 02:22:09.630722,2024-04-02 02:23:19.107522,0 days 00:01:09.476800,8,1009,64,0.6829250358692218,0.004446547062854878,random,4.0672657672856944,4.0672657672856944,4.0672657672856944,4.0672657672856944,4.0672657672856944,4.0672657672856944,2.2088521632729003,21.37078589157002,PRUNED
9,9,9.348607809038434,2024-04-02 02:23:19.108523,2024-04-02 02:23:30.938745,0 days 00:00:11.830222,6,216,32,0.7936026968253842,0.0034850154811532216,random,9.348607809038434,,,,,,,,PRUNED
10,10,8.535408120525005,2024-04-02 02:23:30.939746,2024-04-02 02:23:39.660274,0 days 00:00:08.720528,4,87,48,0.5995196603252393,0.00027735222847672834,grid,8.535408120525005,8.535408120525005,,,,,,,PRUNED
11,11,19.456041941468115,2024-04-02 02:23:39.661275,2024-04-02 02:23:44.955353,0 days 00:00:05.294078,2,598,32,0.7096421382503502,0.0002118852208785548,random,19.456041941468115,,,,,,,,PRUNED
12,12,3.8063173443714415,2024-04-02 02:23:44.956355,2024-04-02 02:25:10.283325,0 days 00:01:25.326970,4,147,48,0.4997884989707748,0.00029959223459148534,random,8.045339498186049,8.045339498186049,8.045339498186049,8.045339498186049,5.336206026239879,4.324795695696379,,,COMPLETE
13,13,14.19528361740793,2024-04-02 02:25:10.284326,2024-04-02 02:26:36.742847,0 days 00:01:26.458521,4,132,48,0.4803684431474986,0.0008155777371700077,random,6.5324328647938,4.55925599212996,14.046591146547675,,,,,,COMPLETE
14,14,15.343427209600895,2024-04-02 02:26:36.743848,2024-04-02 02:26:48.621101,0 days 00:00:11.877253,6,155,32,0.5024328514376097,0.014019565113834318,random,15.343427209600895,,,,,,,,PRUNED
15,15,8.652759449844199,2024-04-02 02:26:48.622103,2024-04-02 02:26:57.144834,0 days 00:00:08.522731,4,299,48,0.17735348466145456,0.0008916723541832921,random,8.652759449844199,8.652759449844199,,,,,,,PRUNED
16,16,5.155835394282236,2024-04-02 02:26:57.146835,2024-04-02 02:28:20.532554,0 days 00:01:23.385719,4,116,32,0.307982337100727,0.00011678691927386386,random,15.937163462888838,15.937163462888838,15.937163462888838,15.937163462888838,15.937163462888838,11.767089131520052,7.990163034323056,,COMPLETE
17,17,1.7517583708331148,2024-04-02 02:28:20.533555,2024-04-02 02:30:19.980509,0 days 00:01:59.446954,6,188,48,0.5687405008403559,0.0012069112931250075,random,7.212170148538276,7.212170148538276,7.212170148538276,7.212170148538276,7.212170148538276,5.282778988068047,3.951281755905985,,COMPLETE
18,18,7.1795246481105135,2024-04-02 02:30:19.982510,2024-04-02 02:30:32.141791,0 days 00:00:12.159281,6,396,48,0.5063716113394385,0.001002034311051025,grid,7.1795246481105135,7.1795246481105135,7.1795246481105135,,,,,,PRUNED
19,19,16.697578731814772,2024-04-02 02:30:32.142793,2024-04-02 02:30:43.970945,0 days 00:00:11.828152,6,205,48,0.5852526693576743,5.181856917693272e-05,random,16.697578731814772,,,,,,,,PRUNED
20,20,7.354651803670503,2024-04-02 02:30:43.971944,2024-04-02 02:30:55.992607,0 days 00:00:12.020663,6,83,48,0.21153689743869508,0.001282633312289653,random,7.354651803670503,7.354651803670503,,,,,,,PRUNED
21,21,3.5149082082659704,2024-04-02 02:30:55.993608,2024-04-02 02:31:13.125065,0 days 00:00:17.131457,4,171,48,0.7637656226225965,0.010704740260922052,random,3.5770339376949365,3.5770339376949365,3.5770339376949365,3.5770339376949365,3.5770339376949365,3.5770339376949365,3.5149082082659704,,PRUNED
