,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_N_I,params_N_LB,params_N_RB,params_W,params_coef,params_initialization,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
0,0,484.8587280647084,2024-04-02 13:07:09.607932,2024-04-02 13:08:36.022513,0 days 00:01:26.414581,4,857,44,115,91,64,0.8477114283941679,xavier,1.8973806421277008e-05,random,501.1414316710666,501.1414316710666,501.1414316710666,501.1414316710666,501.1414316710666,501.1414316710666,509.306325872154,537.2639636194738,COMPLETE
1,1,533.7233494180371,2024-04-02 13:08:36.024514,2024-04-02 13:08:41.291198,0 days 00:00:05.266684,2,242,64,129,178,64,0.5427964056666011,default,0.05614841782048671,grid,533.7233494180371,,,,,,,,PRUNED
2,2,486.11488367398715,2024-04-02 13:08:41.293238,2024-04-02 13:09:34.197786,0 days 00:00:52.904548,2,256,73,149,132,32,0.8018177278692642,eye,3.936548031034464e-05,random,399.78492826608124,399.78492826608124,399.78492826608124,399.78492826608124,399.78492826608124,462.71869098044164,479.32469577578553,,COMPLETE
3,3,588.4880038836463,2024-04-02 13:09:34.199788,2024-04-02 13:09:39.529386,0 days 00:00:05.329598,2,238,43,60,20,48,0.880628186091395,default,0.14899448824275466,grid,588.4880038836463,,,,,,,,PRUNED
4,4,428.6130550886909,2024-04-02 13:09:39.531436,2024-04-02 13:10:32.175011,0 days 00:00:52.643575,2,685,25,95,123,64,0.7722502688761502,eye,1.2838898277584978e-05,random,373.5799374263855,373.5799374263855,373.5799374263855,373.5799374263855,373.5799374263855,372.9476432575377,472.46627817663006,,COMPLETE
5,5,419.8672610225225,2024-04-02 13:10:32.176012,2024-04-02 13:11:58.244769,0 days 00:01:26.068757,4,218,64,162,60,64,0.4852004676418094,normal,0.5148958786540501,random,419.5939509576674,419.5939509576674,419.5939509576674,419.5939509576674,419.5939509576674,419.5939509576674,419.59630559947647,420.40045009819227,COMPLETE
6,6,416.05306559389635,2024-04-02 13:11:58.246832,2024-04-02 13:12:10.494974,0 days 00:00:12.248142,6,2427,39,81,151,64,0.6812239669449548,default,0.41649966138229716,grid,416.05306559389635,,,,,,,,PRUNED
7,7,578.5718784033047,2024-04-02 13:12:10.495976,2024-04-02 13:12:22.864426,0 days 00:00:12.368450,6,4098,53,44,33,64,0.8082783689125768,kaiming,6.96635457444051e-05,random,578.5718784033047,,,,,,,,PRUNED
8,8,248.17995114659126,2024-04-02 13:12:22.865427,2024-04-02 13:13:47.854427,0 days 00:01:24.989000,4,2229,35,206,43,32,0.6921070939172362,eye,0.0003210981928829249,random,398.5233024987116,398.5233024987116,398.5233024987116,398.5233024987116,398.5233024987116,398.5233024987116,312.7785888196633,241.07863495200047,COMPLETE
9,9,544.6294665387611,2024-04-02 13:13:47.855444,2024-04-02 13:13:59.003548,0 days 00:00:11.148104,6,472,65,249,246,32,0.9098444075630158,xavier,0.01187640052477838,random,544.6294665387611,,,,,,,,PRUNED
10,10,16.48265599472998,2024-04-02 13:13:59.004549,2024-04-02 13:16:28.800355,0 days 00:02:29.795806,8,1874,24,222,71,48,0.1312006403423065,orthogonal,0.0007508597289050395,grid,22.76018999787845,22.76018999787845,22.76018999787845,22.76018999787845,22.76018999787845,21.836345602745574,28.801797147635185,,COMPLETE
11,11,24.467762149489158,2024-04-02 13:16:28.802342,2024-04-02 13:16:43.802669,0 days 00:00:15.000327,8,1712,24,220,72,48,0.16246375752184417,orthogonal,0.0006596746374019482,grid,24.467762149489158,24.467762149489158,,,,,,,PRUNED
12,12,26.20714980023812,2024-04-02 13:16:43.803684,2024-04-02 13:19:08.476408,0 days 00:02:24.672724,8,1601,31,195,89,32,0.0635111082660385,orthogonal,0.0008073241868322182,grid,31.55724532190422,31.55724532190422,31.55724532190422,31.55724532190422,32.01461683616435,23.706555558862604,,,COMPLETE
13,13,23.887689159437546,2024-04-02 13:19:08.477408,2024-04-02 13:21:37.428580,0 days 00:02:28.951172,8,1187,32,184,103,48,0.07000979464513729,orthogonal,0.0026177340545354214,grid,25.13650208505178,25.13650208505178,25.13650208505178,25.13650208505178,25.13650208505178,25.13650208505178,22.271020418305824,16.66628725259637,COMPLETE
14,14,109.4796166702644,2024-04-02 13:21:37.430638,2024-04-02 13:21:52.536234,0 days 00:00:15.105596,8,1033,32,173,190,48,0.2663355445280126,orthogonal,0.007546784130915022,grid,109.4796166702644,,,,,,,,PRUNED
15,15,251.02343356389719,2024-04-02 13:21:52.537235,2024-04-02 13:22:07.015099,0 days 00:00:14.477864,8,472,51,237,98,48,0.31036162829228187,orthogonal,0.002677900174229452,grid,251.02343356389719,,,,,,,,PRUNED
16,16,151.27880645682515,2024-04-02 13:22:07.016100,2024-04-02 13:22:18.967309,0 days 00:00:11.951209,6,4521,30,180,118,48,0.05892939126433186,orthogonal,0.00014909504694553678,grid,151.27880645682515,,,,,,,,PRUNED
17,17,1926.4786537447799,2024-04-02 13:22:18.968310,2024-04-02 13:22:33.985742,0 days 00:00:15.017432,8,2985,25,20,60,48,0.30530825493439684,normal,0.002691757931794994,grid,1926.4786537447799,,,,,,,,PRUNED
18,18,519.1407851686234,2024-04-02 13:22:33.986743,2024-04-02 13:22:49.138210,0 days 00:00:15.151467,8,1308,38,224,171,48,0.4213461540846226,kaiming,0.0193907809329442,grid,519.1407851686234,,,,,,,,PRUNED
19,19,125.885617233729,2024-04-02 13:22:49.139211,2024-04-02 13:23:00.584719,0 days 00:00:11.445508,6,549,56,199,208,48,0.1800764685943442,orthogonal,0.001171549539003113,grid,125.885617233729,125.885617233729,,,,,,,PRUNED
20,20,416.5141852104405,2024-04-02 13:23:00.585720,2024-04-02 13:23:15.223406,0 days 00:00:14.637686,8,1161,44,144,143,32,0.18237230416969374,orthogonal,0.03503364686693791,grid,416.5141852104405,,,,,,,,PRUNED
21,21,29.189761770883784,2024-04-02 13:23:15.225466,2024-04-02 13:23:30.012688,0 days 00:00:14.787222,8,1597,30,188,83,32,0.0868744393870515,orthogonal,0.0008258820086907628,grid,29.189761770883784,29.189761770883784,29.189761770883784,,,,,,PRUNED
22,22,127.94154466446496,2024-04-02 13:23:30.012688,2024-04-02 13:23:45.529039,0 days 00:00:15.516351,8,1816,29,212,103,32,0.050540063060142304,orthogonal,0.0002550828130694819,grid,127.94154466446496,127.94154466446496,,,,,,,PRUNED
23,23,24.23291937585897,2024-04-02 13:23:45.529039,2024-04-02 13:23:57.928066,0 days 00:00:12.399027,6,3103,35,192,110,48,0.1320644622068821,orthogonal,0.005483177358522629,grid,24.23291937585897,24.23291937585897,,,,,,,PRUNED
24,24,32.45608705057709,2024-04-02 13:23:57.928581,2024-04-02 13:24:12.628037,0 days 00:00:14.699456,8,754,28,232,67,32,0.21162451502619856,orthogonal,0.0016524602386358432,grid,32.45608705057709,32.45608705057709,,,,,,,PRUNED
25,25,68.08399235092222,2024-04-02 13:24:12.628037,2024-04-02 13:24:27.820878,0 days 00:00:15.192841,8,1380,35,164,46,48,0.3689330399243441,orthogonal,0.0003327783902537793,grid,68.08399235092222,68.08399235092222,,,,,,,PRUNED
26,26,413.79491754268446,2024-04-02 13:24:27.822865,2024-04-02 13:24:39.527383,0 days 00:00:11.704518,6,2156,38,245,84,32,0.24424263123921008,xavier,9.232907205362361e-05,grid,413.79491754268446,,,,,,,,PRUNED
27,27,94.30113227017385,2024-04-02 13:24:39.527383,2024-04-02 13:24:54.493718,0 days 00:00:14.966335,8,1005,48,207,24,48,0.12435413718759995,kaiming,0.004690968169959212,grid,94.30113227017385,,,,,,,,PRUNED
28,28,1137.788858900687,2024-04-02 13:24:54.493718,2024-04-02 13:25:05.793624,0 days 00:00:11.299906,6,349,33,183,134,32,0.35307844351373513,normal,0.0012374191037001197,grid,1137.788858900687,,,,,,,,PRUNED
29,29,363.8774006098173,2024-04-02 13:25:05.793624,2024-04-02 13:25:14.026689,0 days 00:00:08.233065,4,149,41,120,88,64,0.10778155556400115,xavier,0.0004959380610781715,grid,363.8774006098173,,,,,,,,PRUNED
30,30,237.84951878583402,2024-04-02 13:25:14.026689,2024-04-02 13:25:28.542905,0 days 00:00:14.516216,8,885,27,101,156,48,0.5573691445815996,orthogonal,0.00017388063205521918,grid,237.84951878583402,,,,,,,,PRUNED
31,31,188.08740980334144,2024-04-02 13:25:28.542905,2024-04-02 13:25:36.913720,0 days 00:00:08.370815,4,2655,34,211,44,32,0.2205095070636093,eye,0.0004041346138192894,random,188.08740980334144,,,,,,,,PRUNED
32,32,147.59405430353203,2024-04-02 13:25:36.913720,2024-04-02 13:25:44.959154,0 days 00:00:08.045434,4,1876,32,200,47,32,0.6571192440215528,eye,0.0018823671206736551,random,147.59405430353203,,,,,,,,PRUNED
33,33,448.36078541603507,2024-04-02 13:25:44.959154,2024-04-02 13:25:53.342594,0 days 00:00:08.383440,4,3526,46,146,80,32,0.6476665222618633,eye,4.081034555778703e-05,random,448.36078541603507,,,,,,,,PRUNED
34,34,400.12785124389063,2024-04-02 13:25:53.342594,2024-04-02 13:25:58.559091,0 days 00:00:05.216497,2,2084,27,230,101,32,0.5339053828433703,eye,0.0007629630473464676,random,400.12785124389063,,,,,,,,PRUNED
35,35,437.8765076460301,2024-04-02 13:25:58.575486,2024-04-02 13:26:06.741667,0 days 00:00:08.166181,4,1357,37,165,54,32,0.736914891706971,default,3.673700512948294e-05,random,437.8765076460301,,,,,,,,PRUNED
36,36,460.4375583642848,2024-04-02 13:26:06.742668,2024-04-02 13:26:11.929414,0 days 00:00:05.186746,2,1539,24,195,29,48,0.6076125480150063,eye,0.00019831962583333185,random,460.4375583642848,,,,,,,,PRUNED
37,37,395.27074406150837,2024-04-02 13:26:11.929414,2024-04-02 13:26:23.528987,0 days 00:00:11.599573,6,2244,31,138,17,64,0.43106412027388286,default,0.06106304249591515,random,395.27074406150837,,,,,,,,PRUNED
38,38,162.5512123375924,2024-04-02 13:26:23.528987,2024-04-02 13:26:38.208073,0 days 00:00:14.679086,8,842,43,156,117,32,0.13553168217510914,orthogonal,0.00371825355183977,grid,162.5512123375924,,,,,,,,PRUNED
39,39,1135.5520397394957,2024-04-02 13:26:38.208073,2024-04-02 13:26:49.874447,0 days 00:00:11.666374,6,3775,58,218,36,64,0.7310037206061986,normal,0.010936796804504403,random,1135.5520397394957,,,,,,,,PRUNED
40,40,498.2611905596146,2024-04-02 13:26:49.874447,2024-04-02 13:26:55.024375,0 days 00:00:05.149928,2,1165,41,175,74,48,0.9384159158171549,eye,8.454850778307618e-05,grid,498.2611905596146,,,,,,,,PRUNED
41,41,417.6094654926898,2024-04-02 13:26:55.024375,2024-04-02 13:27:03.340391,0 days 00:00:08.316016,4,131,63,128,65,64,0.48079511348206966,normal,0.3799332928891581,random,417.6094654926898,,,,,,,,PRUNED
42,42,383.5991607279648,2024-04-02 13:27:03.340987,2024-04-02 13:27:11.523927,0 days 00:00:08.182940,4,192,73,157,95,64,0.8539006952890852,normal,0.7972423846500695,random,383.5991607279648,,,,,,,,PRUNED
43,43,437.4832305436496,2024-04-02 13:27:11.540761,2024-04-02 13:27:19.890218,0 days 00:00:08.349457,4,630,67,173,55,64,0.08972525857966246,normal,0.07560721256613907,random,437.4832305436496,,,,,,,,PRUNED
44,44,55.78814498047339,2024-04-02 13:27:19.890218,2024-04-02 13:28:43.604957,0 days 00:01:23.714739,4,2647,75,205,12,48,0.8144119301727364,kaiming,0.0005631272987700543,random,472.52118836441343,259.85166762949063,92.62246330102926,,,,,,COMPLETE
45,45,310.4648478921558,2024-04-02 13:28:43.604957,2024-04-02 13:28:51.938616,0 days 00:00:08.333659,4,3002,27,239,14,48,0.7827140485932939,kaiming,0.0005588449866937322,random,310.4648478921558,,,,,,,,PRUNED
46,46,430.4785884580256,2024-04-02 13:28:51.938616,2024-04-02 13:29:07.404422,0 days 00:00:15.465806,8,2536,71,204,37,48,0.8094933689355707,kaiming,0.002403615825089835,random,430.4785884580256,,,,,,,,PRUNED
47,47,505.07015979536726,2024-04-02 13:29:07.404422,2024-04-02 13:29:12.687609,0 days 00:00:05.283187,2,4892,58,220,27,48,0.7367348200481937,kaiming,0.0011514041126584032,grid,505.07015979536726,,,,,,,,PRUNED
48,48,550.1922677827731,2024-04-02 13:29:12.687609,2024-04-02 13:29:21.004063,0 days 00:00:08.316454,4,1916,25,250,126,48,0.8882417067592376,kaiming,0.00013241618342601768,random,550.1922677827731,,,,,,,,PRUNED
49,49,322.3933317691928,2024-04-02 13:29:21.004063,2024-04-02 13:29:32.603892,0 days 00:00:11.599829,6,1601,36,187,75,48,0.8420188200342625,orthogonal,0.0003065243668599136,grid,322.3933317691928,,,,,,,,PRUNED
