,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_initialization,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,system_attrs_completed_rung_8,state
0,0,0.5225026615226436,2024-04-02 03:36:09.679590,2024-04-02 03:39:10.455209,0 days 00:03:00.775619,4,4096,64,0.5129650415053996,eye,0.003306201458461223,grid,34.531450694709164,34.531450694709164,34.531450694709164,34.531450694709164,34.531450694709164,34.531450694709164,18.755875062566503,5.672249659296783,,COMPLETE
1,1,19.33679574915462,2024-04-02 03:39:10.455209,2024-04-02 03:39:37.187777,0 days 00:00:26.732568,2,8192,96,0.4921991214505812,eye,0.003707183873898714,grid,22.31492245032281,22.31492245032281,22.31492245032281,22.31492245032281,22.31492245032281,22.31492245032281,19.33679574915462,,,PRUNED
2,2,30.20528602921467,2024-04-02 03:39:37.203852,2024-04-02 03:44:18.816032,0 days 00:04:41.612180,8,1536,96,0.24718934025303707,zeros,0.5852558105609565,random,30.2348749459673,30.2348749459673,30.2348749459673,30.2348749459673,30.2348749459673,30.2348749459673,30.2348749459673,30.23484492135504,30.234814940211514,COMPLETE
3,3,35.62437991223842,2024-04-02 03:44:18.816836,2024-04-02 03:44:30.647838,0 days 00:00:11.831002,4,1024,64,0.6082198374907123,eye,0.09240754086754539,random,35.62437991223842,,,,,,,,,PRUNED
4,4,26.538787825037257,2024-04-02 03:44:30.647838,2024-04-02 03:44:42.947461,0 days 00:00:12.299623,4,4608,96,0.6898041493743445,zeros,0.00019776443134592774,random,26.538787825037257,,,,,,,,,PRUNED
5,5,4.325058410077312,2024-04-02 03:44:42.947461,2024-04-02 03:46:56.727702,0 days 00:02:13.780241,2,9216,64,0.7788839648727521,normal,0.009122465100441778,random,16.95746344182217,16.95746344182217,16.95746344182217,16.95746344182217,16.95746344182217,16.95746344182217,16.95746344182217,13.84923554239845,8.563641650459669,COMPLETE
6,6,101.52965386372196,2024-04-02 03:46:56.727702,2024-04-02 03:47:16.132549,0 days 00:00:19.404847,8,6656,128,0.4043682497432679,normal,7.113273412055136e-05,random,101.52965386372196,,,,,,,,,PRUNED
7,7,32.99438305438652,2024-04-02 03:47:16.133538,2024-04-02 03:50:18.144681,0 days 00:03:02.011143,4,6144,64,0.4010782011056835,zeros,0.004138696648196574,grid,33.004825339248214,33.004825339248214,33.004825339248214,33.004825339248214,33.004825339248214,33.00482548462134,33.00479411105522,,,COMPLETE
8,8,65.97772321726806,2024-04-02 03:50:18.146683,2024-04-02 03:50:34.448975,0 days 00:00:16.302292,6,9216,32,0.48918579881613705,normal,0.00011494077445125778,grid,65.97772321726806,,,,,,,,,PRUNED
9,9,34.925065822329124,2024-04-02 03:50:34.449976,2024-04-02 03:50:50.740836,0 days 00:00:16.290860,6,2560,96,0.5458271010424289,eye,0.0993695414954266,random,34.925065822329124,,,,,,,,,PRUNED
