,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_initialization,params_lr,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,system_attrs_completed_rung_8,state
0,0,18.895206873727034,2024-04-04 05:11:00.597856,2024-04-04 05:15:22.985062,0 days 00:04:22.387206,4,7168,32,0.7351221285562864,zeros,0.8070705511223782,18.895207654366633,18.895207654366633,18.895207654366633,18.895207654366633,18.895207654366633,18.895207671233845,18.895207128316905,28.47014014395669,,COMPLETE
1,1,18.845849983187723,2024-04-04 05:15:22.987064,2024-04-04 05:18:37.975604,0 days 00:03:14.988540,4,4608,128,0.6523228905950311,zeros,0.04153613510094297,18.835505698773844,18.835505698773844,18.835505698773844,18.835505698773844,18.835505698773844,18.835505698773844,18.835505568236655,18.83550485029135,18.835505693001405,COMPLETE
2,2,22.070507886747865,2024-04-04 05:18:37.976605,2024-04-04 05:18:48.488177,0 days 00:00:10.511572,8,512,128,0.723117813764777,kaiming,0.0004547184959078394,22.070507886747865,,,,,,,,,PRUNED
3,3,18.86999440202658,2024-04-04 05:18:48.490161,2024-04-04 05:18:55.507557,0 days 00:00:07.017396,4,7680,128,0.7129050423419312,kaiming,0.08284602086102645,18.86999440202658,,,,,,,,,PRUNED
4,4,22.12640525361534,2024-04-04 05:18:55.508557,2024-04-04 05:19:02.183605,0 days 00:00:06.675048,4,3072,128,0.8278286982196561,default,0.00012369353331627425,22.12640525361534,,,,,,,,,PRUNED
5,5,22.071761960051823,2024-04-04 05:19:02.184606,2024-04-04 05:19:09.431211,0 days 00:00:07.246605,2,4096,32,0.35454722790478227,default,0.0020579239299319753,22.071761960051823,,,,,,,,,PRUNED
6,6,20.379377890010254,2024-04-04 05:19:09.432212,2024-04-04 05:19:17.491043,0 days 00:00:08.058831,6,7680,96,0.9211822463329878,zeros,0.01987752191193077,20.379377890010254,,,,,,,,,PRUNED
7,7,20.48596395314769,2024-04-04 05:19:17.492044,2024-04-04 05:19:22.951004,0 days 00:00:05.458960,2,6656,32,0.8264469187391404,eye,0.0011527047552255922,20.48596395314769,,,,,,,,,PRUNED
8,8,22.075285832374593,2024-04-04 05:19:22.952005,2024-04-04 05:19:31.124434,0 days 00:00:08.172429,4,512,128,0.6178899513324811,xavier,0.00021968642742540822,22.075285832374593,,,,,,,,,PRUNED
9,9,18.846749407139473,2024-04-04 05:19:31.125434,2024-04-04 05:19:40.312785,0 days 00:00:09.187351,8,512,128,0.3336228169366827,zeros,0.4185961214458317,18.846749407139473,18.846749407139473,,,,,,,,PRUNED
10,10,20.48869116560028,2024-04-04 05:19:40.313785,2024-04-04 05:19:48.482009,0 days 00:00:08.168224,6,5632,64,0.058338062804184465,normal,0.010941243123011627,20.48869116560028,,,,,,,,,PRUNED
11,11,18.817161820885612,2024-04-04 05:19:48.483010,2024-04-04 05:23:08.754872,0 days 00:03:20.271862,4,5120,64,0.507020030522155,zeros,0.6882175603638016,18.83222678560518,18.83222678560518,18.83222678560518,18.83222678560518,18.83222678560518,18.83222678560518,18.83222678560518,18.83222678560518,18.832226725319735,COMPLETE
12,12,18.82900224730385,2024-04-04 05:23:08.756892,2024-04-04 05:26:03.283567,0 days 00:02:54.526675,2,5120,64,0.5377290711447553,zeros,0.11426872226228971,18.82706166889242,18.82706166889242,18.82706166889242,18.82706166889242,18.82706166889242,18.82706166889242,18.82900831797576,18.829005975994335,18.829003988215785,COMPLETE
13,13,18.90532276012577,2024-04-04 05:26:03.284568,2024-04-04 05:26:10.044712,0 days 00:00:06.760144,2,2560,64,0.4497227422224681,zeros,0.15887233068624965,18.90532276012577,,,,,,,,,PRUNED
14,14,18.84034752966467,2024-04-04 05:26:10.046714,2024-04-04 05:26:23.134609,0 days 00:00:13.087895,2,5632,64,0.4981669040038207,xavier,0.22673192601051978,18.610634986297434,18.610634986297434,18.610634986297434,18.610634986297434,18.610634986297434,18.610634986297434,18.84034752966467,,,PRUNED
15,15,64.80988317824654,2024-04-04 05:26:23.135610,2024-04-04 05:26:31.448164,0 days 00:00:08.312554,6,5632,96,0.29436806401456284,normal,0.9882464910755495,64.80988317824654,,,,,,,,,PRUNED
16,16,22.083870021684508,2024-04-04 05:26:31.449165,2024-04-04 05:26:37.045250,0 days 00:00:05.596085,2,4096,64,0.1742719125639564,eye,0.05678347097905029,22.083870021684508,,,,,,,,,PRUNED
17,17,18.827351306869506,2024-04-04 05:26:37.047253,2024-04-04 05:29:56.741150,0 days 00:03:19.693897,2,3072,96,0.548084967939312,zeros,0.22071998537376933,18.825501853602358,18.825501853602358,18.825501853602358,18.825501853602358,18.825501853602358,18.828188108828943,18.82818823294744,18.82818841912607,,COMPLETE
18,18,22.08868092314085,2024-04-04 05:29:56.743152,2024-04-04 05:30:05.733308,0 days 00:00:08.990156,4,2048,96,0.43524526641808536,zeros,0.0037159381594353267,22.08868092314085,,,,,,,,,PRUNED
19,19,18.82737024755132,2024-04-04 05:30:05.734309,2024-04-04 05:30:13.672523,0 days 00:00:07.938214,6,3072,96,0.5619325624712437,zeros,0.34959498805564204,18.82737024755132,18.82737024755132,,,,,,,,PRUNED
20,20,21.568728355567643,2024-04-04 05:30:13.674526,2024-04-04 05:30:20.743822,0 days 00:00:07.069296,2,1536,96,0.20802188296821733,normal,0.02166648431041068,21.568728355567643,,,,,,,,,PRUNED
21,21,18.881600730797704,2024-04-04 05:30:20.744823,2024-04-04 05:30:26.368952,0 days 00:00:05.624129,2,4608,64,0.5796391432041351,zeros,0.1320866347137839,18.881600730797704,,,,,,,,,PRUNED
22,22,18.830347507376963,2024-04-04 05:30:26.369953,2024-04-04 05:30:33.567476,0 days 00:00:07.197523,2,3584,64,0.5236537493423034,zeros,0.5106832427734523,18.830347507376963,18.830347507376963,,,,,,,,PRUNED
23,23,18.848709322309738,2024-04-04 05:30:33.569478,2024-04-04 05:30:40.212516,0 days 00:00:06.643038,4,5120,64,0.39952870054878853,zeros,0.20604905550085348,18.848709322309738,,,,,,,,,PRUNED
24,24,18.878029236892758,2024-04-04 05:30:40.213516,2024-04-04 05:30:46.047409,0 days 00:00:05.833893,2,6656,96,0.5112178118018091,zeros,0.0881524809099631,18.878029236892758,,,,,,,,,PRUNED
25,25,22.07265182587604,2024-04-04 05:30:46.048410,2024-04-04 05:30:55.866333,0 days 00:00:09.817923,4,6144,32,0.6417105605932139,eye,0.0347416345546104,22.07265182587604,,,,,,,,,PRUNED
26,26,18.836960251536404,2024-04-04 05:30:55.870337,2024-04-04 05:31:02.065986,0 days 00:00:06.195649,2,3584,64,0.47197940376804154,xavier,0.3615356418713879,18.836960251536404,18.836960251536404,,,,,,,,PRUNED
27,27,22.075919182356515,2024-04-04 05:31:02.066987,2024-04-04 05:31:08.938231,0 days 00:00:06.871244,2,5120,96,0.28618270598763096,default,0.005450553972233792,22.075919182356515,,,,,,,,,PRUNED
28,28,19.579965152984737,2024-04-04 05:31:08.939232,2024-04-04 05:31:16.389988,0 days 00:00:07.450756,4,1536,64,0.3954733638420742,kaiming,0.5643254495254127,19.579965152984737,,,,,,,,,PRUNED
29,29,19.026544262012617,2024-04-04 05:31:16.390986,2024-04-04 05:31:23.080066,0 days 00:00:06.689080,4,8192,32,0.7933271754826515,zeros,0.9056018427458316,19.026544262012617,,,,,,,,,PRUNED
30,30,18.827277795206943,2024-04-04 05:31:23.081067,2024-04-04 05:31:32.611728,0 days 00:00:09.530661,6,3584,32,0.5640065895432664,zeros,0.1136281637455372,18.827277795206943,18.827277795206943,18.827277795206943,,,,,,,PRUNED
31,31,22.13506039552032,2024-04-04 05:31:32.612729,2024-04-04 05:31:39.244758,0 days 00:00:06.632029,4,4608,128,0.6174739333244152,zeros,0.037566485479941424,22.13506039552032,,,,,,,,,PRUNED
32,32,18.835562327962997,2024-04-04 05:31:39.245777,2024-04-04 05:31:46.491157,0 days 00:00:07.245380,4,5120,96,0.6525144965214216,zeros,0.054853977331944276,18.835562327962997,18.835562327962997,,,,,,,,PRUNED
33,33,18.934532206845276,2024-04-04 05:31:46.492158,2024-04-04 05:35:03.448163,0 days 00:03:16.956005,4,4608,128,0.7588438995231114,kaiming,0.26064730257617136,18.934531586505724,18.934531586505724,18.934531586505724,18.93453160937878,18.934531260343917,311.60410122763903,,,,COMPLETE
34,34,22.04056017619964,2024-04-04 05:35:03.449164,2024-04-04 05:35:09.441845,0 days 00:00:05.992681,2,6144,64,0.6841962886390217,zeros,0.01620954724873539,22.04056017619964,,,,,,,,,PRUNED
35,35,18.885465260980652,2024-04-04 05:35:09.442862,2024-04-04 05:35:19.070595,0 days 00:00:09.627733,8,3072,128,0.7274821102514404,zeros,0.08003714621407985,18.885465260980652,18.885465260980652,,,,,,,,PRUNED
36,36,22.105405905731654,2024-04-04 05:35:19.071597,2024-04-04 05:35:25.740659,0 days 00:00:06.669062,4,4096,96,0.5735976213544438,default,0.03242491313610682,22.105405905731654,,,,,,,,,PRUNED
37,37,18.848589647627396,2024-04-04 05:35:25.741659,2024-04-04 05:35:32.539837,0 days 00:00:06.798178,4,2560,128,0.6836761791001766,kaiming,0.15521428476184387,18.848589647627396,,,,,,,,,PRUNED
38,38,20.377903939240696,2024-04-04 05:35:32.540838,2024-04-04 05:38:35.982789,0 days 00:03:03.441951,2,6144,64,0.9318841298043736,zeros,0.060466625723553616,19.66174633362401,19.66174633362401,19.66174633362401,19.66174633362401,21.310596955326226,22.06459263172691,22.115866873467972,,,COMPLETE
39,39,19.6221967735747,2024-04-04 05:38:35.983775,2024-04-04 05:38:44.590550,0 days 00:00:08.606775,6,7168,128,0.8744109433883183,eye,0.552463857624301,19.6221967735747,,,,,,,,,PRUNED
40,40,22.24435213014145,2024-04-04 05:38:44.591551,2024-04-04 05:38:53.634769,0 days 00:00:09.043218,4,5120,32,0.5344153855761395,zeros,0.0006103549008526781,22.24435213014145,,,,,,,,,PRUNED
41,41,18.96064460528133,2024-04-04 05:38:53.635770,2024-04-04 05:39:02.121468,0 days 00:00:08.485698,4,7168,32,0.7707084026429458,zeros,0.9298766013060998,18.96064460528133,,,,,,,,,PRUNED
42,42,18.86968343061487,2024-04-04 05:39:02.122469,2024-04-04 05:39:10.699264,0 days 00:00:08.576795,4,8192,32,0.712571626704363,zeros,0.3134577456120864,18.86968343061487,18.86968343061487,,,,,,,,PRUNED
43,43,18.827635014860597,2024-04-04 05:39:10.701266,2024-04-04 05:43:42.782426,0 days 00:04:32.081160,6,4096,32,0.6062152906259558,xavier,0.6550055602322641,18.82763188946928,18.82763188946928,18.82763188946928,18.82763188946928,18.827632078826404,18.827632061640386,18.827632078826404,,,COMPLETE
44,44,18.82801889690705,2024-04-04 05:43:42.784412,2024-04-04 05:43:50.937835,0 days 00:00:08.153423,6,3584,64,0.6111541916518085,xavier,0.2053949986570204,18.82801889690705,18.82801889690705,,,,,,,,PRUNED
45,45,18.831928641995084,2024-04-04 05:43:50.938836,2024-04-04 05:43:59.185831,0 days 00:00:08.246995,6,4096,96,0.4801404082988917,xavier,0.5166676310473597,18.831928641995084,18.831928641995084,,,,,,,,PRUNED
46,46,18.978903824019536,2024-04-04 05:43:59.186832,2024-04-04 05:44:08.812579,0 days 00:00:09.625747,8,5632,64,0.42823197473048935,xavier,0.6384817313478598,18.978903824019536,,,,,,,,,PRUNED
47,47,18.840530697759867,2024-04-04 05:44:08.814583,2024-04-04 05:48:37.690659,0 days 00:04:28.876076,6,4608,32,0.6668098625923347,normal,0.26852166340458655,18.840530641337487,18.8405308320191,18.84053261871585,,,,,,,COMPLETE
48,48,18.8381846608506,2024-04-04 05:48:37.691659,2024-04-04 05:48:49.156079,0 days 00:00:11.464420,6,4608,32,0.6604185868187141,normal,0.280322733292739,18.8381846608506,18.8381846608506,,,,,,,,PRUNED
49,49,18.711832017981536,2024-04-04 05:48:49.157098,2024-04-04 05:49:00.140061,0 days 00:00:10.982963,8,3072,32,0.6025299025036364,normal,0.11339314738801824,18.711832017981536,18.711832017981536,18.711832017981536,18.711832017981536,,,,,,PRUNED
50,50,18.828338165870925,2024-04-04 05:49:00.141062,2024-04-04 05:49:09.214327,0 days 00:00:09.073265,6,4096,32,0.5460248225142161,normal,0.6928106111534941,18.828338165870925,18.828338165870925,,,,,,,,PRUNED
51,51,19.051534369466687,2024-04-04 05:49:09.215310,2024-04-04 05:49:27.159637,0 days 00:00:17.944327,6,5120,32,0.6928798610859861,normal,0.17436276223788574,18.593437930051138,18.593437930051138,18.593437930051138,18.593437930051138,18.593437930051138,18.593437930051138,19.051534369466687,,,PRUNED
52,52,18.833996954367137,2024-04-04 05:49:27.161638,2024-04-04 05:49:36.408042,0 days 00:00:09.246404,6,4608,64,0.49254310588946904,xavier,0.42179030547534146,18.833996954367137,18.833996954367137,,,,,,,,PRUNED
53,53,18.82688461403714,2024-04-04 05:49:36.409043,2024-04-04 05:49:44.353263,0 days 00:00:07.944220,6,4096,64,0.5874213457284059,default,0.2803691046873893,18.82688461403714,18.82688461403714,18.82688461403714,,,,,,,PRUNED
54,54,22.095966406374288,2024-04-04 05:49:44.355247,2024-04-04 05:51:12.982876,0 days 00:01:28.627629,2,2560,32,0.6498513421029766,normal,0.07177727108062715,17.41598147609068,17.41598147609068,17.41598147609068,17.41598147609068,17.41598147609068,17.41598147609068,17.254629981798804,16.74048027807048,22.095966406374288,PRUNED
55,55,18.829340187886945,2024-04-04 05:51:12.983877,2024-04-04 05:51:20.267482,0 days 00:00:07.283605,2,5632,96,0.5341921591437345,xavier,0.10528866611276881,18.829340187886945,18.829340187886945,,,,,,,,PRUNED
56,56,18.847279082476916,2024-04-04 05:51:20.268501,2024-04-04 05:51:28.306788,0 days 00:00:08.038287,6,3584,64,0.37171585521756356,eye,0.15883935777112168,18.847279082476916,,,,,,,,,PRUNED
57,57,18.82977205901725,2024-04-04 05:51:28.307788,2024-04-04 05:51:35.281126,0 days 00:00:06.973338,2,5120,96,0.626031360917464,zeros,0.40601788842667375,18.82977205901725,18.82977205901725,,,,,,,,PRUNED
58,58,19.15702042518086,2024-04-04 05:51:35.282127,2024-04-04 05:51:43.098231,0 days 00:00:07.816104,6,5632,128,0.8227963250682346,zeros,0.010049873318356882,19.15702042518086,,,,,,,,,PRUNED
59,59,22.218168896620945,2024-04-04 05:51:43.099247,2024-04-04 05:51:50.865309,0 days 00:00:07.766062,2,2048,64,0.4457328337435713,normal,0.040650241524469555,22.218168896620945,,,,,,,,,PRUNED
60,60,22.089479201900414,2024-04-04 05:51:50.866309,2024-04-04 05:51:59.265925,0 days 00:00:08.399616,4,3072,32,0.5112470637925453,zeros,0.006047214751848716,22.089479201900414,,,,,,,,,PRUNED
61,61,18.88582418173177,2024-04-04 05:51:59.266926,2024-04-04 05:52:07.754640,0 days 00:00:08.487714,4,4608,32,0.7277822306454248,zeros,0.8007402114484624,18.88582418173177,,,,,,,,,PRUNED
62,62,23.648374177723213,2024-04-04 05:52:07.755641,2024-04-04 05:52:16.512618,0 days 00:00:08.756977,4,6656,32,0.7571148925013836,zeros,0.00011067966653386627,23.648374177723213,,,,,,,,,PRUNED
63,63,19.539201294377747,2024-04-04 05:52:16.513619,2024-04-04 05:52:25.223516,0 days 00:00:08.709897,4,6144,32,0.8698008300946172,zeros,0.22802343554744942,19.539201294377747,,,,,,,,,PRUNED
