,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_initialization,params_lr,state
0,0,54.27952580342891,2024-04-04 10:39:50.141083,2024-04-04 10:43:48.285277,0 days 00:03:58.144194,4,8192,128,0.9064918361339419,kaiming,0.0009822478526331727,COMPLETE
1,1,12.170640251017351,2024-04-04 10:43:48.285277,2024-04-04 10:46:46.714872,0 days 00:02:58.429595,2,5120,128,0.19927789381061461,xavier,0.07215405058135207,COMPLETE
2,2,54.284601827191224,2024-04-04 10:46:46.714872,2024-04-04 10:50:45.791559,0 days 00:03:59.076687,4,1024,64,0.46645617963065567,zeros,0.0001711543479993414,COMPLETE
3,3,14.586455967895223,2024-04-04 10:50:45.793561,2024-04-04 10:54:29.309089,0 days 00:03:43.515528,4,6656,64,0.6437009339604846,default,0.33920592302649916,COMPLETE
4,4,11.468299540103004,2024-04-04 10:54:29.309089,2024-04-04 10:59:00.881743,0 days 00:04:31.572654,6,512,64,0.17048387351876615,normal,0.04925048084397914,COMPLETE
5,5,15.638244081650111,2024-04-04 10:59:00.898552,2024-04-04 10:59:21.655673,0 days 00:00:20.757121,8,3584,96,0.8627381893259749,normal,0.1968134280286185,PRUNED
6,6,1.488564350846898,2024-04-04 10:59:21.655673,2024-04-04 11:03:18.640271,0 days 00:03:56.984598,4,512,64,0.6525656921314367,eye,0.0028122059041891796,COMPLETE
7,7,12.969890459893957,2024-04-04 11:03:18.640271,2024-04-04 11:06:23.698975,0 days 00:03:05.058704,2,512,128,0.3472766070511238,normal,0.4270285731541933,COMPLETE
8,8,11.73486891118462,2024-04-04 11:06:23.698975,2024-04-04 11:10:47.693926,0 days 00:04:23.994951,6,5120,32,0.10261020996183395,eye,0.1531544394373711,COMPLETE
9,9,54.302985783946866,2024-04-04 11:10:47.694926,2024-04-04 11:10:53.876490,0 days 00:00:06.181564,2,2048,96,0.4184639737755243,default,0.0017841650746490947,PRUNED
10,10,14.760993195672722,2024-04-04 11:10:53.892620,2024-04-04 11:11:04.262921,0 days 00:00:10.370301,8,3072,32,0.6781178854355229,eye,0.010572683895191762,PRUNED
11,11,10.646237593697272,2024-04-04 11:11:04.263923,2024-04-04 11:15:36.308058,0 days 00:04:32.044135,6,2048,64,0.6823246073780382,normal,0.017746416141106995,COMPLETE
12,12,14.572188027492452,2024-04-04 11:15:36.310060,2024-04-04 11:15:45.524482,0 days 00:00:09.214422,6,2048,64,0.640915985638588,eye,0.009270588066367167,PRUNED
13,13,10.146454791098767,2024-04-04 11:15:45.525483,2024-04-04 11:20:17.105268,0 days 00:04:31.579785,6,2048,32,0.7621964700203198,xavier,0.009361990293464998,COMPLETE
14,14,54.25093968339356,2024-04-04 11:20:17.106269,2024-04-04 11:20:25.036582,0 days 00:00:07.930313,4,1536,32,0.7803326575081445,xavier,0.002395165903512462,PRUNED
15,15,53.97326007014563,2024-04-04 11:20:25.036582,2024-04-04 11:20:35.078120,0 days 00:00:10.041538,8,3072,32,0.5394290037095039,xavier,0.0004835466472801187,PRUNED
16,16,15.306658331898397,2024-04-04 11:20:35.079121,2024-04-04 11:20:44.221037,0 days 00:00:09.141916,6,4608,96,0.7907654653370361,zeros,0.005282004316240007,PRUNED
17,17,14.209303049242335,2024-04-04 11:20:44.222037,2024-04-04 11:24:39.666736,0 days 00:03:55.444699,4,3584,32,0.5687271488155563,kaiming,0.03534928548841265,COMPLETE
18,18,54.21449738048041,2024-04-04 11:24:39.667737,2024-04-04 11:24:48.746876,0 days 00:00:09.079139,6,1536,32,0.770227804967873,xavier,0.004048814300592974,PRUNED
19,19,54.004844437375354,2024-04-04 11:24:48.747877,2024-04-04 11:24:56.926806,0 days 00:00:08.178929,4,512,64,0.3580770387514306,eye,0.00042819510365886695,PRUNED
20,20,53.31434986057337,2024-04-04 11:24:56.928809,2024-04-04 11:25:07.339411,0 days 00:00:10.410602,8,2560,96,0.9276614923071991,xavier,0.0001371120644482151,PRUNED
21,21,25.414121789642003,2024-04-04 11:25:07.341413,2024-04-04 11:25:16.433801,0 days 00:00:09.092388,6,1536,64,0.7235607809495382,normal,0.018509709633095117,PRUNED
22,22,11.935316827563334,2024-04-04 11:25:16.434802,2024-04-04 11:25:43.853868,0 days 00:00:27.419066,6,2560,64,0.5822071486970408,normal,0.020591921982845027,PRUNED
23,23,15.511176551733282,2024-04-04 11:25:43.854868,2024-04-04 11:25:53.118751,0 days 00:00:09.263883,6,1024,64,0.8352521332983986,eye,0.006531892076723974,PRUNED
24,24,54.27322203193796,2024-04-04 11:25:53.119753,2024-04-04 11:26:01.084663,0 days 00:00:07.964910,4,4096,32,0.7024983790176611,kaiming,0.0024939118922176874,PRUNED
25,25,14.431587390506294,2024-04-04 11:26:01.084663,2024-04-04 11:26:10.078446,0 days 00:00:08.993783,6,2048,96,0.61372213742684,default,0.9878748818602251,PRUNED
26,26,13.8269336141947,2024-04-04 11:26:10.079511,2024-04-04 11:26:20.251478,0 days 00:00:10.171967,8,1024,64,0.5008375624055192,zeros,0.019037267379649052,PRUNED
27,27,54.94128971137087,2024-04-04 11:26:20.252479,2024-04-04 11:26:28.136929,0 days 00:00:07.884450,4,6144,32,0.7414443838127427,normal,0.0010725981200906097,PRUNED
28,28,54.25201703860066,2024-04-04 11:26:28.138931,2024-04-04 11:26:34.909955,0 days 00:00:06.771024,2,2560,64,0.827241359321156,eye,0.07828818898847877,PRUNED
29,29,54.28910926741197,2024-04-04 11:26:34.911957,2024-04-04 11:26:44.251009,0 days 00:00:09.339052,6,7168,96,0.9027615841935599,kaiming,0.0005857679913516708,PRUNED
30,30,54.25448231878383,2024-04-04 11:26:44.252010,2024-04-04 11:26:52.088085,0 days 00:00:07.836075,4,1536,32,0.949067503003287,xavier,0.01103044585570462,PRUNED
31,31,11.630393315736153,2024-04-04 11:26:52.089147,2024-04-04 11:31:30.820911,0 days 00:04:38.731764,6,512,64,0.050098477467332966,normal,0.04236353819036625,COMPLETE
32,32,12.22748436408559,2024-04-04 11:31:30.822913,2024-04-04 11:36:08.238466,0 days 00:04:37.415553,6,512,64,0.21594981084999668,normal,0.052325808519799455,COMPLETE
33,33,13.96603784862387,2024-04-04 11:36:08.240511,2024-04-04 11:36:17.416980,0 days 00:00:09.176469,6,1024,128,0.2744560192220307,normal,0.028876618597214198,PRUNED
34,34,14.700358080783433,2024-04-04 11:36:17.417980,2024-04-04 11:36:25.570500,0 days 00:00:08.152520,4,1024,64,0.6660711411943346,normal,0.09799624506495361,PRUNED
